episodio,recompensa,sucesso,epsilon
653,1053.1877987534292,1,0.06254083169574957
654,1015.4553390593273,1,0.062228127537270826
655,1020.5016994374947,1,0.06191698689958447
656,523.1852927038916,1,0.061607401965086545
657,664.2155281280882,1,0.06129936495526111
658,1031.315273071201,1,0.0609928681304848
659,-3842.7577163434225,1,0.060687903789832374
660,1000.6,1,0.06038446427088321
661,723.5852927038918,1,0.06008254194952879
662,1023.7569415042095,1,0.05978212923978115
663,1033.818980208143,1,0.05948321859358224
664,-3148.1601886794333,1,0.05918580250061433
665,1020.9116263352131,1,0.058889873488111255
666,1038.6920240520265,1,0.058595424120670696
667,1013.7116263352132,1,0.05830244700006734
668,1059.0046727951635,1,0.058010934765067
669,1049.9642784226794,1,0.05772088009124167
670,1023.1769256906871,1,0.05743227569078546
671,1027.9,1,0.05714511431233153
672,-321.6612181133992,1,0.05685938874076987
673,1051.0242942258565,1,0.056575091797066025
674,1047.4398113205662,1,0.056292216338080694
675,1064.4776406404415,1,0.05601075525639029
676,-6428.461782989509,0,0.05573070148010834
